50.07;48.18;46.85;45.03;44.46;46.69;44.93;46.68;51.39;58;60.38;61.04;61.1;59.12;53;50.55;50.12;63.1;64.8;62.62;59.17;53.13;58.79;52.98
48.76;45.8;42.45;42.91;39.96;35.4;29.18;34.94;45.76;48.16;51.29;53.19;51.81;49.85;45.3;42.98;43.93;55.67;63.72;63.41;60.08;53.26;53.98;51.39
48.15;47.47;45.82;43.54;42.39;44.91;57.17;67.83;66.76;66.37;66.12;65.71;64.99;64.72;63.89;63.05;63.11;66.42;67.32;64.88;61.09;54.54;52.76;47
45;43.17;35.3;27.34;30.53;44.18;46;61.5;63.5;62.78;62.8;61.09;59.97;61.03;60.58;58.7;61.18;65.16;66.49;64.66;61.05;53.4;53.05;47.03
47.07;47;46.24;44.14;44.75;46.98;52.86;67.32;68.38;67.78;67.46;67.54;66.25;65.41;64.37;63.41;63.83;67.17;69.97;67.55;61.31;52.47;55.3;51.08
46.98;46.75;45.91;43.84;43.11;45.1;50.78;65.53;66.48;66.3;65.99;66.34;65.23;64.41;63.65;62.24;63.92;66.64;71.33;67.94;62.71;53.98;54.36;48.84
47.66;46.75;44.38;43.52;44.19;47.99;55.64;65.44;66.77;66.25;65.94;65.28;64.17;63.13;61.03;55.44;58.2;64.83;67.94;64.39;59.77;54.79;55.67;52.71
52.17;49.71;46.99;45.96;44.97;44.18;45.16;47.46;51.27;55.39;59.32;60.45;58.14;53.25;49.71;47.84;47.94;59.7;64.05;62.03;55.29;48.04;49.93;48.82
47.03;44.94;47.44;45.1;44.19;43.03;37.74;42.43;44.52;47.69;54.12;57.93;56.73;48.34;44.65;43.02;42.7;52.43;63.35;63.3;61.6;53.2;57.92;52.45
48.43;46;44.99;45.9;44.99;46;58.5;69.04;69.27;67.51;65.1;64.47;63.34;62.92;62.11;61.68;61.07;67.14;113.86;82.35;64.07;61.11;60.28;52.09
52.23;48.18;47.08;46.13;45.48;48.19;57.8;71.27;76.3;70.59;68.58;66;62.35;61.73;61.01;60.05;60.36;65.55;69.88;63.4;60.81;53.17;50.56;44.9
47.15;44.14;43.31;43.51;44.09;47.93;56.35;63.74;63.09;63.06;63.47;64.52;63.03;61.25;59.44;59.41;60.68;62.28;63.98;62.25;55.09;49.86;47.74;43.85
37.77;31.66;28;25.84;37.54;42.37;45.46;59.56;59.66;59.69;60.25;60.12;59.68;59.79;58.99;58.07;58.36;62.35;64.17;61.05;55.27;50.73;51.96;46.06
38.49;27.18;21.99;14.08;14.07;14.22;28.88;51.35;48.09;46.91;47.45;47;46.25;45.63;43.47;43.38;45.24;55.56;57.98;48.71;26.15;20.48;21.79;-36.82
20.03;15.12;0;-0.1;0.04;-0.07;-9.3;0.08;16.9;22.96;23.61;23.67;22.99;20.53;17.37;19.99;25.57;59.03;61.62;59.18;50.7;36.84;45;21.58
40.09;25.6;22.24;19.15;19.14;19.12;15.58;15.97;21.58;41.52;46.68;48.78;47.7;41.09;23.78;20.19;23.11;43.3;58.05;59.73;53.55;42.88;42.81;20.37
3.94;3.67;5.22;18.4;25.09;35.13;56.33;66.03;65.6;63.01;59.96;56.89;55.62;51.91;46.5;45.89;46.32;52.55;57.92;47.85;43.18;40.06;40.07;21.52
21.51;18.87;20.42;31.48;40.01;46.15;51.46;61.19;60.14;57.93;54.8;54.59;54.72;54.29;53.73;51.94;57.15;62.96;69.78;65.94;60.21;52.06;53.77;48.26
43.92;43.35;40.94;39.5;39.48;44.29;50.09;64.4;67.11;66.04;65.87;65;63.29;62.41;59.05;53.83;53.62;63.28;70.29;66.58;59.77;49.16;49.84;46.5
45.63;44.58;42.98;39.94;39.99;44.89;53.2;63.95;65.91;63.18;62.92;61.94;58.6;56.28;53.52;50.54;50.08;59.02;66.15;65.09;58.59;50.8;51.27;48.09
44.95;43.26;41.11;37.02;39.06;44.2;50.29;61.02;64.07;63.4;63.29;62.12;60.9;57.99;51.62;49.82;49.08;62.09;65.77;64.38;57.72;50.5;53.03;51.86
46.15;46.26;44.41;38;39.97;40.96;44.3;46.95;51.11;56.83;58.81;58.04;58.03;53.11;47.2;44.05;46.07;54.76;64.07;61.87;52.5;46.05;48.19;46
42.61;39.96;38.07;35.07;28.69;23.36;20.36;21.54;34.82;44.75;47.65;51.51;54.68;47.07;44.05;39.14;38.95;48.61;58.05;60.2;52.92;47.18;47.23;42
40.5;40.36;32.01;20.33;17.26;25.06;43.39;59.46;60.97;56.74;51.4;49.93;48.81;46.67;48.08;51.1;51.07;58.95;69.22;67.32;54.28;49.08;48.82;43.21
45.9;43.71;41.04;39.96;39.89;45.02;50.68;64.6;66.27;65.67;65.67;65.65;64.7;63.27;59.45;55.1;53.19;61.17;69.16;65.91;57.07;47.93;50.53;46.31
44.85;44.07;41.61;38.83;39.31;45;46.51;61.19;64.77;65.61;65.05;64.5;62.01;61.19;57.06;53.02;52.79;64.94;69.97;67.21;57.82;48.63;50.83;47.43
44.79;45.06;43.67;42.32;41;44.91;51.93;64;65;65.64;65.1;65.2;65.4;63.92;60.39;53.2;52.43;61.04;74.94;68.99;64.44;52.77;53.15;48.66
47.98;48.12;46.62;44.94;45.04;47.37;53.02;65.87;68.45;68.91;66.09;66.01;65.93;63.21;61.03;54.36;52.5;62.07;68.41;66.7;60.04;50.31;54.58;50.48
52.81;51.14;48.47;44.46;43.89;43.47;43.08;43.81;47.47;54.78;56;56.02;54.44;49.62;47.1;45.05;45.34;49.55;63.06;61.02;51.21;46.5;52.04;49.68
47.83;44.83;42.23;38.97;36.72;38.26;31.53;31.02;39.41;43.73;46.06;49.94;50.84;45.11;43.07;41.7;41.22;47.87;60.92;63.93;61.07;54.9;60.03;52.81
47.44;45.13;43.09;40.22;42.44;46.85;64.87;69.05;66.95;66.88;66.36;66;65.69;64.01;62.27;59;58.9;62.97;71.59;69.48;64.78;54.94;59.03;50.99
44.93;45.29;44.94;43.01;43.17;44.76;48.08;64.15;66.99;68.08;67.82;67.96;66.91;66.71;63.19;60.7;58.2;65.06;76.23;73.85;66.93;58.81;55.8;49
48.88;49.1;47.01;45.82;44.95;47.19;56;66.62;69.53;69.56;68.36;68;66.94;66.26;65.01;60.85;57.95;62.24;74.97;70.98;62.49;53.63;50;47.98
